/home/milefer7/myRes/ASC25-m5C/workspace/.snakemake/log/2025-01-30T083926.690412.snakemake.log
Rule                                    ,    Jobs,    Avg Time/min,  Total Time/min,   Threads
combine_runs                            ,       9,            0.46,            4.12,        12
cutadapt_SE                             ,       3,            3.41,           10.23,        35
dedup_mapping                           ,       6,           13.38,           80.28,        18
extract_unmap_bam_final_SE              ,       3,            0.01,            0.03,         4
extract_unmap_bam_internal_SE           ,       9,            0.55,            4.95,        35
group_pileup                            ,       4,            0.69,            2.75,        18
hisat2_3n_calling_filtered_multi        ,       6,           28.49,          170.95,        18
hisat2_3n_calling_filtered_unqiue       ,       6,           27.93,          167.58,        18
hisat2_3n_calling_unfiltered_multi      ,       6,           27.34,          164.05,        18
hisat2_3n_calling_unfiltered_unique     ,       6,           27.29,          163.77,        18
hisat2_3n_filtering                     ,       6,            1.31,            7.87,        18
hisat2_3n_mapping_contamination_SE      ,       3,           10.45,           31.35,        35
hisat2_3n_mapping_genes_SE              ,       3,            9.71,           29.12,        35
hisat2_3n_mapping_genome_SE             ,       3,            8.40,           25.20,        35
hisat2_3n_sort                          ,       9,            1.16,           10.40,        12
join_pileup                             ,       6,            1.03,            6.18,         6
stat_mapping_number                     ,       3,            0.18,            0.53,        35
stat_sample_background                  ,       6,            0.19,            1.15,        18

Total pipeline runtime: 14.68 hours
