ref	pos	strand	u	d	ur	pval	passed
chr1	2401311	+	9	64	0.140625	0.028197913085726917	false
chr1	2401313	+	6	64	0.09375	0.2659227154744774	false
chr1	2401315	+	6	64	0.09375	0.2659227154744774	false
chr1	2401317	+	12	65	0.18461538461538463	0.001291077401564111	false
chr1	2401318	+	4	65	0.06153846153846154	0.6504569261857893	false
chr1	2401321	+	5	67	0.07462686567164178	0.4796369922006732	false
chr1	2401331	+	11	67	0.16417910447761194	0.0052047861859046375	false
chr1	2401332	+	4	67	0.05970149253731343	0.6739348069082944	false
chr1	2401334	+	10	67	0.14925373134328357	0.014516041456680985	false
chr1	2401335	+	6	68	0.08823529411764706	0.31363591245522426	false
chr1	7064080	+	14	21	0.6666666666666666	3.1970970007026868e-12	true
chr1	23103800	-	25	40	0.625	8.860047459983923e-20	true
chr1	23852433	+	27	55	0.4909090909090909	1.6058227393756344e-17	true
chr1	23852440	+	9	58	0.15517241379310345	0.015640565773311913	false
chr1	23852442	+	3	58	0.05172413793103448	0.7621071366406804	false
chr1	25677877	+	23	45	0.5111111111111111	1.2380409311901076e-15	true
chr1	25677882	+	23	45	0.5111111111111111	1.2380409311901076e-15	true
chr1	25677883	+	7	20	0.35	0.00023185972428942838	true
chr1	45250613	-	9	28	0.32142857142857145	0.00006375286190408269	true
chr1	57666849	-	3	96	0.03125	0.9620501475019476	false
chr1	57666881	-	3	92	0.03260869565217391	0.9532966915379693	false
chr1	75659308	-	4	190	0.021052631578947368	0.9991273908158953	false
chr1	88645270	-	8	21	0.38095238095238093	0.000040696315352900034	true
chr1	88645271	-	7	21	0.3333333333333333	0.00032744142875769253	true
chr1	92815317	-	3	23	0.13043478260869565	0.2020869789813946	false
chr1	112881366	+	7	21	0.3333333333333333	0.00032744142875769253	true
chr1	112881368	+	4	21	0.19047619047619047	0.0500004582088146	false
chr1	112881371	+	7	21	0.3333333333333333	0.00032744142875769253	true
chr1	112881378	+	4	21	0.19047619047619047	0.0500004582088146	false
chr1	112881382	+	3	21	0.14285714285714285	0.16715976435321728	false
chr1	154125717	-	3	134	0.022388059701492536	0.9952527686081869	false
chr1	154125721	-	3	150	0.02	0.9981059846965932	false
chr1	154125752	-	65	155	0.41935483870967744	8.423093874794552e-35	true
chr1	157878694	-	20	34	0.5882352941176471	2.310075476752865e-15	true
chr1	157878695	-	29	39	0.7435897435897436	4.1292356364604055e-26	true
chr1	180659367	+	4	65	0.06153846153846154	0.6504569261857893	false
chr1	180659368	+	14	60	0.23333333333333334	0.00003812233947187491	true
chr1	180659376	+	14	69	0.2028985507246377	0.00019075820727979656	true
chr1	180659379	+	22	69	0.3188405797101449	4.940193656845312e-10	true
chr1	180659380	+	40	69	0.5797101449275363	5.815158825467486e-29	true
chr1	180659384	+	3	69	0.043478260869565216	0.8549644141686761	false
chr1	199561450	+	4	27	0.14814814814814814	0.10681117094426498	false
chr1	199561453	+	5	27	0.18518518518518517	0.03301995520883101	false
chr1	199561454	+	5	27	0.18518518518518517	0.03301995520883101	false
chr1	199561465	+	16	27	0.5925925925925926	1.2616034887534195e-12	true
chr1	208646511	+	3	21	0.14285714285714285	0.16715976435321728	false
chr1	240828275	-	5	31	0.16129032258064516	0.05567860538312593	false
chr1	240828283	-	4	34	0.11764705882352941	0.1966037138215716	false
chr1	240828284	-	4	34	0.11764705882352941	0.1966037138215716	false
chr2	8463663	-	18	20	0.9	1.5275460693824625e-19	true
chr2	8463672	-	19	21	0.9047619047619048	1.1443695466073653e-20	true
chr2	25174254	-	3	21	0.14285714285714285	0.16715976435321728	false
chr2	25174257	-	44	73	0.6027397260273972	9.809230861364489e-33	true
chr2	41818888	-	11	23	0.4782608695652174	8.739192564031851e-8	true
chr2	41818967	-	5	23	0.21739130434782608	0.017214312009263436	false
chr2	61590414	-	12	27	0.4444444444444444	6.246082876728354e-8	true
chr2	61590415	-	11	27	0.4074074074074074	6.530701075640807e-7	true
chr2	61590416	-	11	27	0.4074074074074074	6.530701075640807e-7	true
chr2	61590417	-	3	27	0.1111111111111111	0.27588911257752774	false
chr2	87603063	+	4	40	0.1	0.28624363398067876	false
chr2	87603064	+	3	26	0.11538461538461539	0.2571026746182763	false
chr2	99894322	-	5	35	0.14285714285714285	0.08541294300250826	false
chr2	99894323	-	3	35	0.08571428571428572	0.42668493260965323	false
chr2	99894324	-	13	62	0.20967741935483872	0.00022675065026193814	true
chr2	104325496	+	3	27	0.1111111111111111	0.27588911257752774	false
chr2	104325497	+	8	29	0.27586206896551724	0.000525892509348326	true
chr2	153345601	+	4	27	0.14814814814814814	0.10681117094426498	false
chr2	172342499	+	4	32	0.125	0.16888591920165186	false
chr2	172914544	-	16	28	0.5714285714285714	2.7563835853304956e-12	true
chr2	177886836	-	55	82	0.6707317073170732	2.8085572140992377e-44	true
chr2	177886838	-	47	92	0.5108695652173914	2.1499928414942305e-30	true
chr2	177886842	-	35	92	0.3804347826086957	7.620576036456125e-18	true
chr2	185530953	+	21	21	1.0	2.8623417554091694e-25	true
chr2	185530957	+	21	21	1.0	2.8623417554091694e-25	true
chr2	189283251	-	4	21	0.19047619047619047	0.0500004582088146	false
chr2	203039295	+	4	81	0.04938271604938271	0.8073042705348187	false
chr2	203039296	+	14	79	0.17721518987341772	0.0008107092501970809	true
chr2	203039298	+	3	82	0.036585365853658534	0.9225018535977997	false
chr2	203039299	+	3	79	0.0379746835443038	0.9101326769164777	false
chr2	203039303	+	3	82	0.036585365853658534	0.9225018535977997	false
chr2	203039307	+	11	82	0.13414634146341464	0.022512139345897162	false
chr2	203039308	+	23	82	0.2804878048780488	3.3657318309675087e-9	true
chr2	203039309	+	10	82	0.12195121951219512	0.05052925201985098	false
chr2	203039310	+	8	82	0.0975609756097561	0.191515108422808	false
chr2	203039312	+	23	82	0.2804878048780488	3.3657318309675087e-9	true
chr2	203039313	+	14	82	0.17073170731707318	0.0011836252200143405	false
chr2	203039314	+	10	82	0.12195121951219512	0.05052925201985098	false
chr2	203039316	+	3	82	0.036585365853658534	0.9225018535977997	false
chr3	4619797	+	10	27	0.37037037037037035	5.90691886212773e-6	true
chr3	4619803	+	3	29	0.10344827586206896	0.31379008397832125	false
chr3	4619805	+	11	29	0.3793103448275862	1.525900817538918e-6	true
chr3	4619808	+	3	29	0.10344827586206896	0.31379008397832125	false
chr3	4619811	+	10	29	0.3448275862068966	0.00001236565582635444	true
chr3	4619815	+	4	29	0.13793103448275862	0.1302454881800137	false
chr3	67069678	-	29	42	0.6904761904761905	1.3526916308159798e-24	true
chr3	67069680	-	30	42	0.7142857142857143	4.249031789251199e-26	true
chr3	67069681	-	37	42	0.8809523809523809	3.455719313743599e-38	true
chr3	67069683	-	8	42	0.19047619047619047	0.0065800271704042484	false
chr3	70267997	+	3	25	0.12	0.238499958968105	false
chr3	76531667	+	4	105	0.0380952380952381	0.931099521903325	false
chr3	76562884	+	16	163	0.09815950920245399	0.08790960624149807	false
chr3	76562886	+	24	164	0.14634146341463414	0.00031295642810984155	true
chr3	76562892	+	4	165	0.024242424242424242	0.9965821323933168	false
chr3	76562894	+	32	165	0.19393939393939394	6.83708592314251e-8	true
chr3	76562896	+	13	165	0.07878787878787878	0.3287814645024213	false
chr3	76562898	+	10	165	0.06060606060606061	0.6876319263486502	false
chr3	76562899	+	58	165	0.3515151515151515	1.9346029786392364e-26	true
chr3	76562900	+	75	165	0.45454545454545453	6.423408687871341e-43	true
chr3	76562903	+	4	165	0.024242424242424242	0.9965821323933168	false
chr3	76562904	+	15	165	0.09090909090909091	0.15235675358288306	false
chr3	76562907	+	7	165	0.04242424242424243	0.9354606483738902	false
chr3	97477402	-	65	95	0.6842105263157895	6.405836267798631e-53	true
chr3	97477479	-	3	44	0.06818181818181818	0.5808956203060442	false
chr3	97477484	-	3	38	0.07894736842105263	0.4807953145402807	false
chr3	114514718	-	24	26	0.9230769230769231	2.5349015134103983e-26	true
chr3	114514733	-	5	27	0.18518518518518517	0.03301995520883101	false
chr3	114514734	-	5	27	0.18518518518518517	0.03301995520883101	false
chr3	118238947	-	17	20	0.85	1.2656913862786864e-17	true
chr3	120832773	+	4	22	0.18181818181818182	0.05794464126021122	false
chr3	120832782	+	5	22	0.22727272727272727	0.014251634477529678	false
chr3	124286059	+	3	53	0.05660377358490566	0.7060635829039751	false
chr3	124286066	+	7	53	0.1320754716981132	0.06580657353166705	false
chr3	124286070	+	7	53	0.1320754716981132	0.06580657353166705	false
chr3	124286074	+	3	53	0.05660377358490566	0.7060635829039751	false
chr3	124286078	+	3	53	0.05660377358490566	0.7060635829039751	false
chr3	124286082	+	18	53	0.33962264150943394	5.8569584380090045e-9	true
chr3	124286083	+	5	53	0.09433962264150944	0.2895065519766253	false
chr3	124805161	+	3	20	0.15	0.15042272061830264	false
chr3	142362656	+	11	64	0.171875	0.0036280696451235837	false
chr3	142362658	+	4	68	0.058823529411764705	0.6852550022732279	false
chr3	142362660	+	4	83	0.04819277108433735	0.822148000640357	false
chr3	142362661	+	11	67	0.16417910447761194	0.0052047861859046375	false
chr3	142362666	+	4	85	0.047058823529411764	0.8360327141304839	false
