ref	pos	strand	u	d	ur	pval	passed
ENST00000752543.1|ENSG00000272691.2|OTTHUMG00000186154.1|-|ENST00000752543|ENSG00000272691|534|	15	-	1	157	0.006369426751592357	0.43977493699394665	false
ENST00000562538.1|ENSG00000260246.1|OTTHUMG00000172930.1|OTTHUMT00000421369.1|ENST00000562538|ENSG00000260246|491|	248	-	10	556	0.017985611510791366	0.000053670704951466694	false
ENST00000418602.2|ENSG00000227741.2|OTTHUMG00000031606.1|OTTHUMT00000077411.1|ENST00000418602|ENSG00000227741|1579|	1035	-	0	177	0.0	1.0	false
ENST00000452431.5|ENSG00000293616.2|OTTHUMG00000153728.26|OTTHUMT00000329620.3|PCBP1-AS1-248|PCBP1-AS1|1194|	191	-	1	82	0.012195121951219513	0.2611240774053455	false
ENST00000662121.1|ENSG00000232931.7|OTTHUMG00000155186.10|OTTHUMT00000526205.1|LINC00342-210|LINC00342|879|	106	+	1	20	0.05	0.07115280940388888	false
ENST00000826804.1|ENSG00000227400.3|OTTHUMG00000153821.1|-|ENST00000826804|ENSG00000227400|1711|	1349	+	4	75	0.05333333333333334	0.00018167359930985416	true
ENST00000625256.1|ENSG00000280927.1|OTTHUMG00000189534.1|OTTHUMT00000479923.1|CTBP1-AS-201|CTBP1-AS|3886|	710	-	16	442	0.03619909502262444	2.026059184419332e-11	true
ENST00000500031.1|ENSG00000245748.2|OTTHUMG00000159982.1|OTTHUMT00000358686.1|ENST00000500031|ENSG00000245748|4300|	2897	-	0	172	0.0	1.0	false
ENST00000752777.1|ENSG00000298064.1|-|-|ENST00000752777|ENSG00000298064|480|	478	+	3	160	0.01875	0.021830333994237738	false
ENST00000736664.1|ENSG00000296127.1|-|-|ENST00000736664|ENSG00000296127|696|	95	-	15	347	0.043227665706051875	7.110028713058171e-12	true
ENST00000606994.3|ENSG00000272086.3|OTTHUMG00000185453.1|OTTHUMT00000470550.1|GOLPH3-DT-201|GOLPH3-DT|1926|	104	-	5	246	0.02032520325203252	0.002349432080250638	false
ENST00000655600.1|ENSG00000248473.3|OTTHUMG00000162379.2|OTTHUMT00000527101.1|LINC01962-202|LINC01962|1840|	1538	-	18	46	0.391304347826087	3.988458144342973e-32	true
ENST00000696632.1|ENSG00000293281.1|-|-|ENST00000696632|ENSG00000293281|3244|	2459	+	2	216	0.009259259259259259	0.1895234347442835	false
ENST00000691329.2|ENSG00000289375.2|-|-|ENST00000691329|ENSG00000289375|1855|	172	-	0	124	0.0	1.0	false
ENST00000836966.1|ENSG00000308871.1|-|-|ENST00000836966|ENSG00000308871|383|	113	-	1	184	0.005434782608695652	0.4929073670718419	false
ENST00000827816.1|ENSG00000226803.10|OTTHUMG00000014917.6|-|ZNF451-AS1-228|ZNF451-AS1|1061|	13	-	9	60	0.15	1.559145274556383e-12	true
ENST00000790494.1|ENSG00000273055.2|OTTHUMG00000186301.1|-|ENST00000790494|ENSG00000273055|335|	24	-	0	224	0.0	1.0	false
ENST00000523081.2|ENSG00000253133.2|OTTHUMG00000164080.3|OTTHUMT00000377154.3|GPAT4-AS1-201|GPAT4-AS1|4033|	1867	-	6	303	0.019801980198019802	0.001008665971233452	false
ENST00000523081.2|ENSG00000253133.2|OTTHUMG00000164080.3|OTTHUMT00000377154.3|GPAT4-AS1-201|GPAT4-AS1|4033|	1872	-	2	294	0.006802721088435374	0.2948056038806182	false
ENST00000643616.1|ENSG00000229140.13|OTTHUMG00000164848.68|OTTHUMT00000497274.1|CCDC26-210|CCDC26|20097|	8749	-	0	5	0.0	1.0	false
ENST00000848559.1|ENSG00000310253.1|-|-|ENST00000848559|ENSG00000310253|1350|	616	+	2393	6833	0.35021220547343773	0.0	true
ENST00000412023.5|ENSG00000293161.1|-|OTTHUMT00000345210.1|ENST00000412023|ENSG00000293161|1438|	868	+	1	335	0.0029850746268656717	0.70955322828516	false
ENST00000794347.1|ENSG00000303417.1|-|-|ENST00000794347|ENSG00000303417|484|	448	-	1	124	0.008064516129032258	0.3672174627260654	false
ENST00000794528.1|ENSG00000303439.1|-|-|ENST00000794528|ENSG00000303439|391|	9	-	36	1400	0.025714285714285714	5.709080188646624e-19	true
ENST00000688886.1|ENSG00000289006.1|-|-|ENST00000688886|ENSG00000289006|2090|	173	+	10	97	0.10309278350515463	4.323854061604975e-12	true
