# Log analysis for: 2025-02-04T072629.263712.snakemake.log
# Generated at: 2025-02-04 10:16:26
rule_name,job_count,avg_time_min,total_time_min,threads
combine_runs,9,0.55,4.93,8
cutadapt_SE,3,3.69,11.08,20
dedup_mapping,6,14.52,87.12,20
extract_unmap_bam_final_SE,3,0.01,0.02,4
extract_unmap_bam_internal_SE,9,0.49,4.42,4
group_pileup,4,0.61,2.45,6
hisat2_3n_calling_filtered_multi,6,29.82,178.95,16
hisat2_3n_calling_filtered_unqiue,6,30.16,180.95,16
hisat2_3n_calling_unfiltered_multi,6,28.71,172.28,16
hisat2_3n_calling_unfiltered_unique,6,28.87,173.20,16
hisat2_3n_filtering,6,1.51,9.03,4
hisat2_3n_mapping_contamination_SE,3,8.17,24.50,24
hisat2_3n_mapping_genes_SE,3,6.93,20.80,24
hisat2_3n_mapping_genome_SE,3,9.94,29.83,24
hisat2_3n_sort,9,1.14,10.23,16
join_pileup,6,0.92,5.53,6
stat_mapping_number,3,0.29,0.88,4
stat_sample_background,6,0.17,1.05,2

# === Summary ===
# Total CPU Time: 15.29 hours
# Wall Time: 02:45:08 hours
