ref	pos	strand	u	d	ur	pval	passed
ENST00000387314.1	48	+	169	234	0.7222222222222222	2.95907e-318	true
ENST00000386347.1	50	+	22	435	0.05057471264367816	5.917727997175934e-14	true
ENST00000387365.1	22	-	1	36	0.027777777777777776	0.19317856928683105	false
ENST00000387377.1	31	+	41	230	0.1782608695652174	8.324998470235343e-47	true
ENST00000387405.1	3	+	0	28	0.0	1.0	false
ENST00000387409.1	43	+	115	601	0.1913477537437604	6.502225682757392e-132	true
ENST00000387441.1	44	+	338	405	0.8345679012345679	0.0	true
ENST00000387449.1	33	+	204	233	0.8755364806866953	0.0	true
ENST00000387449.1	34	+	220	232	0.9482758620689655	0.0	true
ENST00000387449.1	35	+	214	228	0.9385964912280702	0.0	true
ENST00000387459.1	45	+	458	2157	0.2123319425127492	0.0	true
